x_pos,race_local,race_display,group,series,prior_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R1,'24-R1,Lille Bane,Lille bane 1,0.0,0.7313324366690077,-2.7380448929404277,2.8151242589423253,-3.8043904010679364,3.9548482689901965,-2.7380448929404277,2.8151242589423253
2,R2,'24-R2,Lille Bane,Lille bane 1,0.37401780220940317,-2.266674108725908,-1.590384871282191,2.377632882522973,-2.401115892209982,3.2280598478082734,-1.590384871282191,2.377632882522973
3,R3,'24-R3,Lille Bane,Lille bane 1,-0.9470806766535445,-2.9293686312660494,-2.376505510699678,0.5032741124907592,-3.175307905498992,1.3324247589795002,-2.376505510699678,0.5032741124907592
4,R4,'24-R4,Lille Bane,Lille bane 1,-1.7610444475255949,,-2.9158852404529645,-0.5924665230364723,-4.7318910243022705,1.3024451918419055,-2.9158852404529645,-0.5924665230364723
5,R5,'24-R5,Lille Bane,Lille bane 1,-1.7610444475255949,,-2.975021046047599,-0.5318785730290099,-4.014317580903182,0.5451244895347873,-2.975021046047599,-0.5318785730290099
6,R6,'24-R6,Lille Bane,Lille bane 1,-1.7610444475255949,,-3.0313579066245544,-0.4740895644618326,-6.083927562908132,2.7608175853556016,-3.0313579066245544,-0.4740895644618326
7,R7,'24-R7,Lille Bane,Lille bane 1,-1.7610444475255949,,-3.0852552518580767,-0.4187400676606501,-3.721001586539474,0.23881165232162438,-3.0852552518580767,-0.4187400676606501
8,R8,'24-R8,Lille Bane,Lille bane 1,-1.7610444475255949,,-3.137001597799871,-0.36554156657375714,-3.5253857386424947,0.03556336484535905,-3.137001597799871,-0.36554156657375714
9,R9,'24-R9,Lille Bane,Lille bane 1,-1.7610444475255949,-3.336362685668004,-3.186832713418042,-0.31425829223304946,-7.404952301862444,4.226874200693986,-3.186832713418042,-0.31425829223304946
10,R10,'24-R10,Lille Bane,Lille bane 1,-1.857957461735038,,-3.513342131455499,-0.1741719906470096,-7.571749810139405,4.209053982926392,-3.513342131455499,-0.1741719906470096
11,R11,'24-R11,Lille Bane,Lille bane 1,-1.857957461735038,-14.696074169916319,-3.5547310792105935,-0.1313322948659601,-7.076247297020643,3.6533742278984427,-3.5547310792105935,-0.1313322948659601
12,R12,'24-R12,Lille Bane,Lille bane 1,-3.2499112957138587,,-4.877819701642927,-1.5941430807499102,-6.2670905157270695,-0.1356117526917222,-4.877819701642927,-1.5941430807499102
13,R13,'24-R13,Lille Bane,Lille bane 1,-3.2499112957138587,,-4.918721889886246,-1.551810720857827,-6.677066257288233,0.3031011658296556,-4.918721889886246,-1.551810720857827
14,R14,'24-R14,Lille Bane,Lille bane 1,-3.2499112957138587,-3.7477606287830256,-4.958620165374594,-1.5104822701974552,-5.769418495391854,-0.6630383170300513,-4.958620165374594,-1.5104822701974552
15,R15,'24-R15,Lille Bane,Lille bane 1,-3.4772664051164526,,-4.789940448921303,-2.1464943456879992,-9.587742405083944,3.046183653230039,-4.789940448921303,-2.1464943456879992
16,R16,'24-R16,Lille Bane,Lille bane 1,-3.4772664051164526,,-4.840341439121132,-2.0946665685176225,-10.041251193721589,3.5656700905408067,-4.840341439121132,-2.0946665685176225
17,R17,'24-R17,Lille Bane,Lille bane 1,-3.4772664051164526,,-4.888906911670721,-2.0446743054825522,-7.977670891054145,1.243232928812632,-4.888906911670721,-2.0446743054825522
18,R18,'24-R18,Lille Bane,Lille bane 1,-3.4772664051164526,,-4.909205651621173,-2.023764082819468,-5.12928869716982,-1.7964767768013146,-4.909205651621173,-2.023764082819468
19,R1,'25-R1,Stor Bane,Stor bane 2,-3.4772664051164526,-4.486939253498157,-5.096894568643551,-1.8299974665465513,-5.856003799569076,-1.0384254265784376,-5.096894568643551,-1.8299974665465513
20,R2,'25-R2,Stor Bane,Stor bane 2,-3.942932263970389,-10.441380848363524,-5.150895648545884,-2.719584701036515,-8.42833647290786,0.7621780215264717,-5.150895648545884,-2.719584701036515
21,R3,'25-R3,Stor Bane,Stor bane 2,-4.413017074304582,-2.5629340468826367,-5.593525184783221,-3.2177472708209476,-6.759490819152402,-2.007492396727717,-5.593525184783221,-3.2177472708209476
22,R4,'25-R4,Stor Bane,Stor bane 2,-3.9538306022677827,,-5.005910689344795,-2.890098500653282,-5.24728314733105,-2.642721365745937,-5.005910689344795,-2.890098500653282
23,R5,'25-R5,Stor Bane,Stor bane 2,-3.9538306022677827,-3.9062202074995334,-5.029327976470988,-2.8661537354141453,-5.552676238928744,-2.3279190068472566,-5.029327976470988,-2.8661537354141453
24,R6,'25-R6,Stor Bane,Stor bane 2,-3.932408899834239,5.628841790026806,-4.762083247825844,-3.095506763298006,-6.737375770755094,-1.0430798397514818,-4.762083247825844,-3.095506763298006
25,R7,'25-R7,Stor Bane,Stor bane 2,-3.148253499562037,-0.23743329390003565,-3.9794000617913827,-2.30991259978065,-4.565966554299927,-1.7094797159310726,-3.9794000617913827,-2.30991259978065
26,R8,'25-R8,Stor Bane,Stor bane 2,-2.1635841489041963,,-2.8825252177401617,-1.4393209044080923,-3.158190241571035,-1.158763033593324,-2.8825252177401617,-1.4393209044080923
27,R9,'25-R9,Stor Bane,Stor bane 2,-2.1635841489041963,-2.5588489830661088,-2.917806357856456,-1.4035024602766621,-3.086375973222655,-1.2320056884488562,-2.917806357856456,-1.4035024602766621
28,R10,'25-R10,Stor Bane,Stor bane 2,-2.4273498697022444,,-3.1344607451643136,-1.7150771400447407,-4.713898495621982,-0.08593170314489251,-3.1344607451643136,-1.7150771400447407
29,R11,'25-R11,Stor Bane,Stor bane 2,-2.4273498697022444,5.223143664185637,-3.1701207120819697,-1.6788813178102657,-8.836705860297734,4.4326243724806424,-3.1701207120819697,-1.6788813178102657
30,R12,'25-R12,Stor Bane,Stor bane 2,-2.3341407091639566,,-3.107170427800743,-1.5549436100457337,-4.653902352328232,0.04206051793569365,-3.107170427800743,-1.5549436100457337
31,R13,'25-R13,Stor Bane,Stor bane 2,-2.3341407091639566,10.97680327817805,-3.139948030020523,-1.5216296397016604,-10.395660673840135,6.45265779257409,-3.139948030020523,-1.5216296397016604
32,R14,'25-R14,Stor Bane,Stor bane 2,-2.21866134532287,,-3.053357144777069,-1.3767789424226295,-4.116246646951494,-0.2835219237204645,-3.053357144777069,-1.3767789424226295
33,R15,'25-R15,Stor Bane,Stor bane 2,-2.21866134532287,-1.3906881170901664,-3.0838447164743377,-1.345754367477281,-4.1857822296388125,-0.2111543402040006,-3.0838447164743377,-1.345754367477281
34,R16,'25-R16,Stor Bane,Stor bane 2,-2.06085140633121,,-2.8732057870765604,-1.2417026116935292,-3.327043245555872,-0.7780753865089474,-2.8732057870765604,-1.2417026116935292
35,R17,'25-R17,Stor Bane,Stor bane 2,-2.06085140633121,,-2.9046113901992743,-1.2097591390192841,-3.5327284721311303,-0.5665167540098048,-2.9046113901992743,-1.2097591390192841
36,R1,'26-R1,Stor Bane,Stor bane 2,-2.06085140633121,-5.08444453188599,-3.5822491736365203,-0.5154471552972884,-8.259132312662532,4.556203457150021,-3.5822491736365203,-0.5154471552972884
37,R2,'26-R2,Stor Bane,Stor bane 2,-2.23681357042661,-4.571288078301294,-3.7289166558801323,-0.7215844169962571,-5.683713096284393,1.3360569486859042,-3.7289166558801323,-0.7215844169962571
