x,gamma,step
0.003001495038322803,0.8147294396078791,1
0.004489710016858558,0.843056600520012,2
0.004040090061016807,0.8401393159070545,3
0.016983272151188243,0.8604086878962861,4
0.018488014543618654,0.8872572946837838,5
0.017314703108200758,0.8561235261840254,6
0.018299057807986043,0.864572361880605,7
0.01681416095727501,0.8556126956568624,8
0.01870154202800549,0.8747733478342465,9
0.01900701661141392,0.8894482513801916,10
0.02266389264486376,0.9203594307732933,11
0.026247661257055382,0.9561094733099574,12
0.03230334585181078,0.9780056784059391,13
0.03165361625046349,0.9738751782423698,14
0.031962409950015716,0.9790982631388716,15
0.030925403090556945,0.9707907545233203,16
